domain,redirect
farmerfairness.gov,https://www.usda.gov/farmerfairness
fbf.gov,https://acquisitiongateway.gov/forecast
fbo.gov,https://sam.gov/opportunities
fdicseguro.gov,https://www.fdic.gov/espanol
fdsys.gov,https://www.govinfo.gov/about
feb.gov,https://feb.opm.gov/
federalinvestments.gov,https://www.treasurydirect.gov/government/federal-investments-program/
federaljobs.gov,https://www.usajobs.gov/
fedidcard.gov,https://www.gsa.gov/technology/it-contract-vehicles-and-purchasing-programs/federal-credentialing-services?gsaredirect=fedidcard
fedinvest.gov,https://treasurydirect.gov/government/federal-investments-program/
fedjobs.gov,https://www.usajobs.gov/
fedrooms.gov,https://www.gsa.gov/travel/plan-a-trip/lodging/fedrooms
fedshirevets.gov,https://www.opm.gov/fedshirevets/
fegli.gov,https://www.opm.gov/healthcare-insurance/life-insurance
fha.gov,https://www.hud.gov/fha
financialstability.gov,https://home.treasury.gov/data/troubled-asset-relief-program
findsupport.gov,https://www.samhsa.gov/find-support
firstfreedom.gov,https://www.justice.gov/crt/combating-religious-discrimination-and-protecting-religious-freedom-12
firstgov.gov,https://www.usa.gov/
fishwatch.gov,https://www.fisheries.noaa.gov/topic/sustainable-seafood
fitness.gov,https://odphp.health.gov/pcsfn
flightrights.gov,https://www.transportation.gov/airconsumer/airline-customer-service-dashboard
flu.gov,https://www.cdc.gov/flu/
fmi.gov,https://sftool.gov/train
forms.gov,https://www.usa.gov/forms?utm_source=forms_gov&utm_medium=USAGov_Redirect&utm_campaign=Dec_2019_launch
frc.gov,https://www.archives.gov/frc
fsafeds.com,https://www.fsafeds.gov/
fsoc.gov,https://home.treasury.gov/policy-issues/financial-markets-financial-institutions-and-fiscal-service/fsoc
gatewaycfc.org,https://nexuscommunity.org/
gcmrc.gov,https://www.usgs.gov/centers/sbsc/about/gcmrc
gem-measures.org,https://cancercontrol.cancer.gov/brp/research/group-evaluated-measures
genomereference.org,https://www.ncbi.nlm.nih.gov/grc
georgewbushlibrary.smu.edu,https://www.georgewbushlibrary.gov/
getsmartaboutdrugs.com,https://www.getsmartaboutdrugs.gov/
globalentry.gov,https://www.cbp.gov/travel/trusted-traveler-programs/global-entry
globalhealth.gov,https://www.hhs.gov/about/agencies/oga/index.html
goang.com,https://www.airforce.com/ways-to-serve/air-national-guard
gobiernousa.gov,https://www.usa.gov/es/
godirect.org,https://godirect.gov/gpw/
goodjobs.gov,https://www.dol.gov/general/good-jobs
governmentjobs.gov,https://www.usajobs.gov/
govloans.gov,https://www.usa.gov/government-loan?utm_source=usa_benefits-gov&utm_medium=redirect&utm_campaign=redirect_govloans-gov
healthfinder.gov,https://odphp.health.gov/myhealthfinder
healthypeople.gov,https://odphp.health.gov/healthypeople
hearttruth.com,https://www.nhlbi.nih.gov/health-topics/education-and-awareness/heart-truth
hearttruth.gov,https://www.nhlbi.nih.gov/health-topics/education-and-awareness/heart-truth
hearttruth.net,https://www.nhlbi.nih.gov/health-topics/education-and-awareness/heart-truth
hearttruth.org,https://www.nhlbi.nih.gov/health-topics/education-and-awareness/heart-truth
helpamericavote.gov,https://www.eac.gov/help-america-vote
homelandsecurity.gov,https://www.dhs.gov/
housecalendar.gov,https://www.govinfo.gov/app/collection/ccal
howrightnow.org,https://www.cdc.gov/howrightnow/
hsr.gov,https://www.ftc.gov/enforcement/premerger-notification-program
hudhomestore.com,https://www.hudhomestore.gov/
hudhre.info,https://artcityclaws.com/
huduser.org,https://www.huduser.gov/
humanities.gov,https://www.neh.gov/
hurricanes.gov,https://www.nhc.noaa.gov/
